RIC,Date,Total Equity,Company Market Cap,Revenue,Full-Time Employees,"Cash Dividend Paid, Common, Discrete"
BAYGn.DE,31/12/1995,8488.469784,,22200.29864,148248,382.4463271
BAYGn.DE,31/12/1996,9109.178272,23034.05554,22793.39736,142900,463.7417362
BAYGn.DE,31/12/1997,10532.10391,24409.89006,24852.88154,142200,543.5032697
BAYGn.DE,31/12/1998,12008.20391,26146.11494,28123.61646,144600,634.0019327
BAYGn.DE,31/12/1999,12566.53478,34399.1082,23351.72822,145100,364.0398194
BAYGn.DE,31/12/2000,15006,40804.20754,24738,120400,770
BAYGn.DE,31/12/2001,16140,26146.2436,28615,122100,953
BAYGn.DE,31/12/2002,16922,14935.4939,29170,116900,1028
BAYGn.DE,31/12/2003,15335,16958.54124,29624,122600,662
BAYGn.DE,31/12/2004,12213,18214.72948,28567,115400,664
BAYGn.DE,31/12/2005,10832,25773.76918,23278,113000,559
BAYGn.DE,31/12/2006,11077,31078.14572,24701,93700,440
BAYGn.DE,31/12/2007,12767,47794.30526,28956,106000,535
BAYGn.DE,31/12/2008,16734,31758.4101,32385,106200,773
BAYGn.DE,31/12/2009,16263,46275.99934,32918,108600,1126
BAYGn.DE,31/12/2010,18897,45730.21378,31168,111000,973
BAYGn.DE,31/12/2011,18833,40851.22172,35088,111400,1160
BAYGn.DE,31/12/2012,19196,59449.27792,36528,111800,1242
BAYGn.DE,31/12/2013,18451,84307.32903,39741,110000,1366
BAYGn.DE,31/12/2014,20718,93445.1023,40157,112366,1574
BAYGn.DE,31/12/2015,20106,95760.55617,41339,117400,1739
BAYGn.DE,31/12/2016,24265,81975.33621,46085,116600,1869
BAYGn.DE,31/12/2017,30333,86002.57203,34943,99592,2126
BAYGn.DE,31/12/2018,36801,56475.34694,35015,99820,2364
BAYGn.DE,31/12/2019,45977,71530.29741,36742,107894,2407
BAYGn.DE,31/12/2020,47253,47308.63167,43545,103824,2615
BAYGn.DE,31/12/2021,30523,46276.1086,41400,99538,2768
DTEGn.DE,31/12/1995,,,32627.58769,,0
DTEGn.DE,31/12/1996,12642.71728,33275.87108,33814.29642,213467,0
DTEGn.DE,31/12/1997,23215.72455,46211.81378,32249.7429,201060,618.6631762
DTEGn.DE,31/12/1998,23874.26865,76853.88992,34538.79718,191034,841.5864364
DTEGn.DE,31/12/1999,24299.1523,194802.7,35719.37041,179169,1763.95699
DTEGn.DE,31/12/2000,34701,97250.28949,35470,195788,1718
DTEGn.DE,31/12/2001,38414,58471.35786,40939,227015,1914
DTEGn.DE,31/12/2002,60994,51422.46721,48309,257058,1905
DTEGn.DE,31/12/2003,31428,60909.38769,53689,255969,1582
DTEGn.DE,31/12/2004,39518,69892.57788,55596,248519,96
DTEGn.DE,31/12/2005,41416,59989.02738,57353,244645,404
DTEGn.DE,31/12/2006,45088,61801.51605,59604,243695,2931
DTEGn.DE,31/12/2007,46570,65504.01114,61347,248800,3182
DTEGn.DE,31/12/2008,42130,46883.94923,62516,241426,3762
DTEGn.DE,31/12/2009,39997,44877.98273,61666,227747,3963
DTEGn.DE,31/12/2010,36354,42108.54453,64602,259920,4287
DTEGn.DE,31/12/2011,38016,38308.49476,62421,246777,4003
DTEGn.DE,31/12/2012,35402,37141.73858,58715,235132,3521
DTEGn.DE,31/12/2013,25928,55325.93,58169,232342,3400
DTEGn.DE,31/12/2014,23879,60096.31902,60132,228596,2243
DTEGn.DE,31/12/2015,25437,76885.01971,62658,227811,1290
DTEGn.DE,31/12/2016,29400,76490.73275,69228,225243,1256
DTEGn.DE,31/12/2017,29305,70445.77993,73095,218341,1596
DTEGn.DE,31/12/2018,30733,70564.81639,74947,217349,1559
DTEGn.DE,31/12/2019,30907,69374.45174,75656,215675,3082
DTEGn.DE,31/12/2020,31707,71207.6133,80531,210533,3561
DTEGn.DE,31/12/2021,35922,81279.27511,100999,226291,3067
MBGn.DE,31/12/1995,10276.9692,,53212.7149,330551,248.4878543
MBGn.DE,31/12/1996,13494.52976,2826.26762,54370.27999,,5.112918812
MBGn.DE,31/12/1997,13494.52976,32865.85964,54370.27999,,5.112918812
MBGn.DE,31/12/1998,30367,43123.29851,131782,441502,6454
MBGn.DE,31/12/1999,30367,77133.45794,131782,441502,6454
MBGn.DE,31/12/2000,42409,44885.8524,162384,416501,2379
MBGn.DE,31/12/2001,42409,48508.1969,162384,416501,2379
MBGn.DE,31/12/2002,39004,29446.03314,150386,372470,2367
MBGn.DE,31/12/2003,35004,37473.72924,147368,365571,1015
MBGn.DE,31/12/2004,34481,35712.18097,136437,362063,1537
MBGn.DE,31/12/2005,33522,43693.2356,142059,384723,1547
MBGn.DE,31/12/2006,36449,47650.48217,95209,293839,1519
MBGn.DE,31/12/2007,36925,68372.88944,99222,274024,1527
MBGn.DE,31/12/2008,36718,25752.08824,101569,272382,1542
MBGn.DE,31/12/2009,31222,39501.03,98469,273216,1928
MBGn.DE,31/12/2010,30261,53967.4114,78924,256407,556
MBGn.DE,31/12/2011,36373,36170.05461,97761,260100,0
MBGn.DE,31/12/2012,39624,44105.42901,106540,271370,1971
MBGn.DE,31/12/2013,37905,67285.80767,114297,275087,2346
MBGn.DE,31/12/2014,42680,73786.68872,117982,274616,2349
MBGn.DE,31/12/2015,43665,82997.98914,129872,279972,2407
MBGn.DE,31/12/2016,53561,75658.90425,149467,284015,2621
MBGn.DE,31/12/2017,57950,75744.49125,153261,282488,3477
MBGn.DE,31/12/2018,63869,49116.23719,164154,289321,3477
MBGn.DE,31/12/2019,64667,52817.87476,167362,298683,3905
MBGn.DE,31/12/2020,61344,61825.90606,172745,298655,3477
MBGn.DE,31/12/2021,60691,72310.31304,121778,275943,963
ALVG.DE,31/12/1995,7203.201338,,,69000,
ALVG.DE,31/12/1996,7857.918925,,,66000,
ALVG.DE,31/12/1997,7857.918925,,,66000,
ALVG.DE,31/12/1998,17053.42885,72915.06978,,76951,
ALVG.DE,31/12/1999,22232.2,81801.276,,105676,386.7
ALVG.DE,31/12/2000,29675.9,97764.622,,113584,585.7
ALVG.DE,31/12/2001,35603,65369.5,,119683,613
ALVG.DE,31/12/2002,31664,24151.6982,,179946,673
ALVG.DE,31/12/2003,21673,38502.6525,,181651,682
ALVG.DE,31/12/2004,28592,38008.40848,,173750,676
ALVG.DE,31/12/2005,29995,49833.70169,,176501,1069
ALVG.DE,31/12/2006,38656,67835.56326,,177625,1403
ALVG.DE,31/12/2007,49650,67745.63165,,166505,1463
ALVG.DE,31/12/2008,47753,34554.4125,,181207,1995
