Name (or Code),RIC,ISIN,CUSIP/CINS,Type of Equity,Exchange,Country of Issuer
Bayer AG,BAYGn.DE,DE000BAY0017,D0712D163,Ordinary Share,Xetra,Germany
Deutsche Telekom AG,DTEGn.DE,DE0005557508,D2035M136,Ordinary Share,Xetra,Germany
Mercedes-Benz Group AG,MBGn.DE,DE0007100000,D1668R123,Ordinary Share,Xetra,Germany
Allianz SE,ALVG.DE,DE0008404005,D03080112,Ordinary Share,Xetra,Germany
Siemens AG,SIEGn.DE,DE0007236101,D69671218,Ordinary Share,Xetra,Germany
SAP SE,SAPG.DE,DE0007164600,D66992104,Ordinary Share,Xetra,Germany
BASF SE,BASFn.DE,DE000BASF111,D06216317,Ordinary Share,Xetra,Germany
Deutsche Post AG,DPWGn.DE,DE0005552004,D19225107,Ordinary Share,Xetra,Germany
Volkswagen AG,VOWG_p.DE,DE0007664039,D94523103,Preference Share,Xetra,Germany
Bertelsmann SE & Co KGaA,BTGGg.F,DE0005229942,D10080162,Genussschein,Frankfurt Stock Exchange,Germany
Henkel AG & Co KGaA,HNKG_p.DE,DE0006048432,D3207M110,Preference Share,Xetra,Germany
Fuchs Petrolub SE,FPE3_p.DE,DE000A3E5D64,D27462379,Preference Share,Xetra,Germany
Schaeffler AG,SHA_p.DE,DE000SHA0159,D6T0B6130,Preference Share,Xetra,Germany
Bayerische Motoren Werke AG,BMWG.DE,DE0005190003,D12096109,Ordinary Share,Xetra,Germany
Infineon Technologies AG,IFXGn.DE,DE0006231004,D35415104,Ordinary Share,Xetra,Germany
Adidas AG,ADSGn.DE,DE000A1EWWW0,D0066B185,Ordinary Share,Xetra,Germany
Deutsche Bank AG,DBKGn.DE,DE0005140008,D18190898,Ordinary Share,Xetra,Germany
RWE AG,RWEG.DE,DE0007037129,D6629K109,Ordinary Share,Xetra,Germany
E ON SE,EONGn.DE,DE000ENAG999,D24914133,Ordinary Share,Xetra,Germany
Muenchener Rueckversicherungs Gesellschaft in Muenchen AG,MUVGn.DE,DE0008430026,D55535104,Ordinary Share,Xetra,Germany
Delivery Hero SE,DHER.DE,DE000A2E4K43,D1T0KZ103,Ordinary Share,Xetra,Germany
Beiersdorf AG,BEIG.DE,DE0005200000,D08792109,Ordinary Share,Xetra,Germany
Vonovia SE,VNAn.DE,DE000A1ML7J1,D9581T100,Ordinary Share,Xetra,Germany
Deutsche Boerse AG,DB1Gn.DE,DE0005810055,D1882G119,Ordinary Share,Xetra,Germany
Commerzbank AG,CBKG.DE,DE000CBK1001,D172W1279,Ordinary Share,Xetra,Germany
Covestro AG,1COV.DE,DE0006062144,D15349109,Ordinary Share,Xetra,Germany
Merck KGaA,MRCG.DE,DE0006599905,D5357W103,Ordinary Share,Xetra,Germany
Fresenius SE & Co KGaA,FREG.DE,DE0005785604,D27348263,Ordinary Share,Xetra,Germany
Fresenius Medical Care AG & Co KGaA,FMEG.DE,DE0005785802,D2734Z107,Ordinary Share,Xetra,Germany
Siemens Healthineers AG,SHLG.DE,DE000SHL1006,D6T479107,Ordinary Share,Xetra,Germany
Rheinmetall AG,RHMG.DE,DE0007030009,D65111102,Ordinary Share,Xetra,Germany
Symrise AG,SY1G.DE,DE000SYM9999,D827A1108,Ordinary Share,Xetra,Germany
Deutsche Lufthansa AG,LHAG.DE,DE0008232125,D1908N106,Ordinary Share,Xetra,Germany
Zalando SE,ZALG.DE,DE000ZAL1111,D98423102,Ordinary Share,Xetra,Germany
HeidelbergCement AG,HEIG.DE,DE0006047004,D31709104,Ordinary Share,Xetra,Germany
Daimler Truck Holding AG,DTGGe.DE,DE000DTR0CK8,D1T3RZ100,Ordinary Share,Xetra,Germany
Continental AG,CONG.DE,DE0005439004,D16212140,Ordinary Share,Xetra,Germany
Brenntag SE,BNRGn.DE,DE000A1DAHH0,D12459117,Ordinary Share,Xetra,Germany
MTU Aero Engines AG,MTXGn.DE,DE000A0D9PT0,D5565H104,Ordinary Share,Xetra,Germany
Hellofresh SE,HFGG.DE,DE000A161408,D3R2MA100,Ordinary Share,Xetra,Germany
K&S AG,SDFGn.DE,DE000KSAG888,D48164129,Ordinary Share,Xetra,Germany
thyssenkrupp AG,TKAG.DE,DE0007500001,D8398Q119,Ordinary Share,Xetra,Germany
Puma SE,PUMG.DE,DE0006969603,D62318148,Ordinary Share,Xetra,Germany
Evonik Industries AG,EVKn.DE,DE000EVNK013,D2R90Y117,Ordinary Share,Xetra,Germany
Wacker Chemie AG,WCHG.DE,DE000WCH8881,D9540Z106,Ordinary Share,Xetra,Germany
Siemens Energy AG,ENR1n.DE,DE000ENER6Y0,D6T47E106,Ordinary Share,Xetra,Germany
LEG Immobilien SE,LEGn.DE,DE000LEG1110,D4960A103,Ordinary Share,Xetra,Germany
Hannover Rueck SE,HNRGn.DE,DE0008402215,D3015J135,Ordinary Share,Xetra,Germany
Hugo Boss AG,BOSSn.DE,DE000A1PHFF7,D34902102,Ordinary Share,Xetra,Germany
Telefonica Deutschland Holding AG,O2Dn.DE,DE000A1J5RX9,D8T9CK101,Ordinary Share,Xetra,Germany
Lanxess AG,LXSG.DE,DE0005470405,D5032B102,Ordinary Share,Xetra,Germany
Nordex SE,NDXG.DE,DE000A0D6554,D5736K135,Ordinary Share,Xetra,Germany
Varta AG,VAR1.DE,DE000A0TGJ55,D85802110,Ordinary Share,Xetra,Germany
freenet AG,FNTGn.DE,DE000A0Z2ZZ5,D3689Q134,Ordinary Share,Xetra,Germany
Kion Group AG,KGX.DE,DE000KGX8881,D4S14D103,Ordinary Share,Xetra,Germany
GEA Group AG,G1AG.DE,DE0006602006,D28304109,Ordinary Share,Xetra,Germany
Aixtron SE,AIXGn.DE,DE000A0WMPJ6,D0257Y135,Ordinary Share,Xetra,Germany
TUI AG,TUIGn.DE,DE000TUAG000,D8484K166,Ordinary Share,Xetra,Germany
Nemetschek SE,NEKG.DE,DE0006452907,D56134105,Ordinary Share,Xetra,Germany
Rational AG,RAAG.DE,DE0007010803,D6349P107,Ordinary Share,Xetra,Germany
Knorr Bremse AG,KBX.DE,DE000KBX1006,D4S43E114,Ordinary Share,Xetra,Germany
Hensoldt AG,HAGG.DE,DE000HAG0005,D3R14P109,Ordinary Share,Xetra,Germany
TeamViewer AG,TMV.DE,DE000A2YN900,D8T895100,Ordinary Share,Xetra,Germany
Carl Zeiss Meditec AG,AFXG.DE,DE0005313704,D14895102,Ordinary Share,Xetra,Germany
Scout24 SE,G24n.DE,DE000A12DM80,D345XT105,Ordinary Share,Xetra,Germany
Bechtle AG,BC8G.DE,DE0005158703,D0873U103,Ordinary Share,Xetra,Germany
Encavis AG,ECVG.DE,DE0006095003,D2R4PT120,Ordinary Share,Xetra,Germany
Uniper SE,UN01.DE,DE000UNSE018,D8530Z100,Ordinary Share,Xetra,Germany
Aurubis AG,NAFG.DE,DE0006766504,D10004105,Ordinary Share,Xetra,Germany
flatexDEGIRO AG,FTKn.DE,DE000FTG1111,D3690M106,Ordinary Share,Xetra,Germany
Salzgitter AG,SZGG.DE,DE0006202005,D80900109,Ordinary Share,Xetra,Germany
Verbio Vereinigte Bioenergie AG,VBKG.DE,DE000A0JL9W6,D86145105,Ordinary Share,Xetra,Germany
Suedzucker AG,SZUG.DE,DE0007297004,D82781101,Ordinary Share,Xetra,Germany
Deutsche EuroShop AG,DEQGn.DE,DE0007480204,D1854M102,Ordinary Share,Xetra,Germany
TAG Immobilien AG,TEGG.DE,DE0008303504,D8283Q174,Ordinary Share,Xetra,Germany
Fraport AG Frankfurt Airport Services Worldwide,FRAG.DE,DE0005773303,D3856U108,Ordinary Share,Xetra,Germany
Evotec SE,EVTG.DE,DE0005664809,D1646D105,Ordinary Share,Xetra,Germany
CureVac NV,CVAC.O,NL0015436031,N2451R105,Ordinary Share,NASDAQ Global Market Consolidated,Germany
Prosiebensat 1 Media SE,PSMGn.DE,DE000PSM7770,D6216S143,Ordinary Share,Xetra,Germany
Gerresheimer AG,GXIG.DE,DE000A0LD6E6,D2852S109,Ordinary Share,Xetra,Germany
Cts Eventim AG & Co KgaA,EVDG.DE,DE0005470306,D1648T108,Ordinary Share,Xetra,Germany
Hapag Lloyd AG,HLAG.DE,DE000HLAG475,D3R03P128,Ordinary Share,Xetra,Germany
Vantage Towers AG,VTWRn.DE,DE000A3H3LL2,D8T6E6106,Ordinary Share,Xetra,Germany
SMA Solar Technology AG,S92G.DE,DE000A0DJ6J9,D7008K108,Ordinary Share,Xetra,Germany
Hochtief AG,HOTG.DE,DE0006070006,D33134103,Ordinary Share,Xetra,Germany
United Internet AG,UTDI.DE,DE0005089031,D8542B125,Ordinary Share,Xetra,Germany
Hypoport SE,HYQGn.DE,DE0005493365,D3149E101,Ordinary Share,Xetra,Germany
CompuGroup Medical SE & Co KgaA,COP1n.DE,DE000A288904,D193ZN100,Ordinary Share,Xetra,Germany
Siltronic AG,WAFGn.DE,DE000WAF3001,D6948S114,Ordinary Share,Xetra,Germany
Software AG,SOWGn.DE,DE000A2GS401,D7045M190,Ordinary Share,Xetra,Germany
Talanx AG,TLXGn.DE,DE000TLX1005,D82827110,Ordinary Share,Xetra,Germany
AUTO1 Group SE,AG1G.DE,DE000A2LQ884,D0R06D102,Ordinary Share,Xetra,Germany
Lilium NV,LILM.O,NL0015000F41,N52586109,Ordinary Share,NASDAQ Global Select Consolidated,Germany
Synlab AG,SYAB.DE,DE000A2TSL71,D8T7KY106,Ordinary Share,Xetra,Germany
Deutsche Wohnen SE,DWNG.DE,DE000A0HN5C6,D2046U176,Ordinary Share,Xetra,Germany
